Comment,Designator,Footprint,LCSC
"100nF","C1,C2","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C29926"
"AudioJack4","J1","Connector_Audio:Jack_3.5mm_PJ320D_Horizontal","C521460"
"Conn_01x03_Female","J2","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"680","R1,R2","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17798"
"1M","R3,R4","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C26115"
